chunk_id,document_id,source_file,page_number,text
lrs_23062020_p1,lrs_23062020,LRS_23062020.pdf,1,"DOC : BIS/LRS/2020

LABORATORY RECOGNITION SCHEME, 2020

 1"
lrs_23062020_p2,lrs_23062020,LRS_23062020.pdf,2,"1. Introduction

1.1 Bureau of Indian Standards (BIS), the National Standards Body of India, was established under The Bureau of Indian Standards Act, 1986 now revised to The Bureau of Indian Standards Act 2016. To protect the interest of consumers, BIS operates a variety of Conformity Assessment Schemes for manufacturers and service providers for a variety of goods and services. Under the Product Certification Scheme, the licensed manufacturers can use the Standard Mark, popularly known as the ISI mark, on their products which conform to the relevant Indian Standards. Under the Compulsory Registration Schemes, BIS registers the manufacturers for self-declaration of conformity whose products conform to the relevant Indian Standards as assessed through testing at BIS recognized laboratories. Both the Schemes require testing of products for quality evaluation against the respective Standard and therefore there is need for testing facilities. It is in this context that BIS has established a network of eight laboratories of its own in the country to cater to testing of samples generated from its Conformity Assessment Schemes.

1.2 BIS operates Laboratory Recognition Scheme which is governed by the provisions under Section 13 (4) of the BIS Act 2016 and Rule 32 of the BIS Rules, 2018. These statutory provisions confer upon BIS, powers to recognize any laboratory in India or outside India for carrying out testing of samples in relation to conformity assessment and such other functions as the Bureau may assign to it. The Rules also provide for issuance of guidelines for suspension or withdrawal, revocation or renewal of recognized laboratories. BIS also maintains record of such laboratories as are recognized by it for testing of samples of articles or processes in relation to relevant Indian Standards. The delegation of powers for carrying out the activities for the operation of the scheme shall be as given in Annex A.

2. Objectives of Laboratory Recognition Scheme

It is neither physically possible nor economically viable for BIS laboratories to develop testing facilities for each and every product covered under various conformity assessment schemes of BIS. Accordingly, this Laboratory Recognition Scheme (LRS) has been formulated with the objective of having a sufficient number of outside laboratories in India and abroad, in addition to BIS labs to cater to the needs of various conformity assessment schemes of BIS.

3. Scope of BIS LRS

3.1 This Scheme lays down the criteria, terms and conditions of grant and operation of recognition, suspension or withdrawal of recognition, revocation or renewal of recognition, appeals, complaint handling mechanism, administrative instructions for testing & issuing test reports and charges relating to recognition of outside labs.

3.2 The Scheme covers recognition of laboratories in India and outside India.

3.3 The recognition in no way guarantees utilization of the recognized laboratories by BIS for testing of samples drawn under Conformity Assessment Schemes of BIS.

3.4 BIS Samples: All the samples sent by BIS to the recognized labs or the samples sent directly by the applicants/prospective applicants /licenses (drawn by BIS or submitted by applicant / licensee for conformity tests as per Scheme of Inspection and Testing) to the recognized labs for testing for the purpose of obtaining BIS Registration/License/ inclusion/ CCL/ Changeover etc. shall be considered as BIS Sample. BIS approved testing charges shall be applicable on such samples. 2"
lrs_23062020_p3,lrs_23062020,LRS_23062020.pdf,3,"The schedule of Fees for Laboratory Recognition Scheme for Laboratories is given in Annex B of this scheme.

4. Grant of Recognition

Recognition is granted to such laboratories which meet the criteria for recognition and which are able to demonstrate availability of infrastructure, test facility and manpower required for testing of products covered or proposed to be covered under Conformity Assessment Schemes of BIS and payment of fees as prescribed by BIS.

4.1 Criteria for recognition – The laboratory desirous of seeking recognition under LRS shall meet the following criteria:

4.1.1 Accreditation - The laboratory shall be accredited to Laboratory Quality Management System as per IS/ISO/IEC 17025 (latest implemented/concurrent version). The accreditation body, through which the laboratory is accredited, shall be a full member of International Laboratory Accreditation Cooperation (ILAC) and/or Asia Pacific Accreditation Co-operation (APAC) or any other regional accreditation cooperation body. All the test parameters of the Indian Standard(s) for which recognition is sought shall be covered under the scope of accreditation as per IS/ISO/IEC 17025 (latest implemented/concurrent version), except for the test parameters for which no test method has been prescribed in the Indian Standard (e.g. visual examination, finish etc) or it is not technically possible to obtain accreditation for the said parameter. BIS will take decision regarding exclusion of parameters from the scope of accreditation, if required, on case to case basis.

Note: The standard IS/ISO/IEC 17025 (latest implemented/concurrent version), wherever appears in this Scheme, would also mean ISO/IEC 17025 (latest implemented /concurrent version) or the equivalent national standard of any other country.

4.1.2 Indian Standards for recognition – Recognition shall be considered only for Indian Standards which are covered/ proposed to be covered under the conformity assessment schemes of BIS and/or related standards, for all the requirements/ parameters/ tests in the standard. Recognition can be granted even if the Indian Standard in not covered under any certification scheme of BIS, but the same is covered in applicant lab's NABL scope.

However, if exclusion for certain tests are desired by the Laboratory for an Indian Standard/ product, the same may be permitted as per the following: i) Exclusions of scope for Indian Standard/ product will only be permitted in case test facilities are not available anywhere for the particular test for which exclusion is being sought. The exclusion of test will not be based on the choice of the individual laboratories but will be considered in case of genuine difficulty / non availability or limited availability of the test facility for a particular requirement. Also, other reasons like possibility of conformance of the requirement on the basis of other test reports or documentary evidence for the test which are not routinely required may be allowed for exclusion from the scope of the recognition (e.g. radioactive test in packaged drinking water, pull out test in HSD / TMT bars, Short Circuit test in case of Transformers and switchgears, Photometry test for LED Luminaries, EMI/ EMC test for safety of Electrical Appliances etc. are some of the examples where exclusions can be permitted).

 3"
lrs_23062020_p4,lrs_23062020,LRS_23062020.pdf,4,"ii) These exclusions in scope will be specifically considered and allowed by BIS on merit of the case, for an initial period of six months (extendable by another six months) within which the lab shall make arrangement of its own. Exclusion for extended period may be permitted with the permission of DDG (Labs). iii) In case the laboratory is seeking exclusion of certain tests in the Indian Standard/ product while applying for recognition/ inclusion, the same has to be mentioned in application form for applying for recognition/ inclusion under LRS. The application in such cases will be recorded and entertained only once the decision regarding exclusion of tests has been taken by BIS. iv) Recognition may be considered only for specialized tests prescribed in Indian Standards, for which exclusions have been permitted to other laboratories and for which there is limited test facility available in the country, as per the decision of BIS for the individual Indian Standard/ product, if required.

Note : The details of tests mentioned in (i) above is for guidance purpose only and not exhaustive.

4.1.2.1 For the purpose of certificate of conformity to be issued under the various conformity assessment schemes of BIS, if the report is to be issued for particular requirements only, in such cases the recognition can be granted for such particular requirements only.

4.1.3 Sub contracting of tests shall not be allowed.

Note: Subcontracting may be agreed in case of breakdown of existing test equipments and only for the samples which are already under test. The lab to which subcontracting of tests is to be carried out shall also be BIS recognised for the particular Indian Standard/ product or IS/ISO/IEC17025 (latest implemented/concurrent version), accredited for that Indian Standard/ product.

4.1.4 The laboratory shall be carrying out all testing related activities in the same premises. For the purpose of this LRS, the term ‘same premises’ would mean one or more of the following: i) Single address ii) Premises comprising of number of buildings within the same perimeter of the address all of which under authorized ownership/lease rights of the laboratory. iii) In case of laboratory operating from different areas (within the same premises) which have different identifications (such as different flat no., plot no., wing, floor, etc) then all such areas should be part of the document authenticating the address of the premises.

 Exemptions may be permitted as per the merit of the case by BIS for specialized tests like test for Fire performance of Fire extinguishers, short circuit test in case of transformers, Photometry test for LED Luminaries, EMI/ EMC test for safety of Electrical Appliances etc (list is for guidance purpose only and is not exhaustive) for which laboratory may have arranged a separate premises at a different location, subject to the test at separate premises being covered under the scope of accreditation as per IS/ISO/IEC 17025 (latest version) of the laboratory. In such case, the laboratory has to mention the same clearly in application form itself for applying for recognition under LRS. The application in such cases will be recorded only after decision regarding allowing functioning from a separate premise at different location has been taken by BIS.

4.1.5 Impartiality

 As per the requirements of IS/ISO/IEC 17025 (latest implemented/concurrent version), the following has to be ensured by the lab for the purpose of impartiality:

 4"
lrs_23062020_p5,lrs_23062020,LRS_23062020.pdf,5,"“ a) Laboratory activities shall be structured and managed so as to safeguard impartiality.

b) The laboratory management shall be committed to impartiality.

 c) The laboratory shall be responsible for the impartiality of its laboratory activities and shall not allow commercial, financial or other pressures to compromise impartiality.

d) The laboratory shall identify risks to its impartiality on an on-going basis. This shall include those risks that arise from its activities, or from its relationships, or from the relationships of its personnel. However, such relationships do not necessarily present a laboratory with a risk to impartiality.

NOTE A relationship that threatens the impartiality of the laboratory can be based on ownership, governance, management, personnel, shared resources, finances, contracts, marketing (including branding), and payment of a sales commission or other inducement for the referral of new customers, etc.

e) If a risk to impartiality is identified, the laboratory shall be able to demonstrate how it eliminates or minimizes such risk”.

4.1.5.1 The laboratory shall ensure the impartiality of testing on a ongoing basis, and shall submit an undertaking on Stamp Paper of Rs 100/- duly notorized by Notary Public as part of the application in the prescribed format as given below.

 UNDE RTAKIN G

We, M/s _____________________________________________________________________ (OSL Code - ___________/Laboratory applying for recognition under BIS LRS 2020 ), located at _____________________________________________ ____________________________________________________________________________, a BIS recognized laboratory under the Laboratory Recognition Scheme of the Bureau of Indian Standards / an applicant lab under the Laboratory Recognition Scheme of the Bureau of Indian Standards , do, hereby, undertake that:

i) We shall not encourage “agent culture” (either through direct contract or collection representative) for obtaining business and shall deal professionally with the organizations submitting samples with our laboratory for independent testing under any conformity assessment scheme of the Bureau. We shall not indulge in payment of a sales commission or other inducement for the referral of new customers

ii) Neither members of management of the laboratory nor any employee of the laboratory shall, in any way, act as authorized Indian representative for any foreign manufacturer under the Foreign Manufacturers’ Certification Scheme and / or Compulsory Registration Scheme/ any other Conformity assessment scheme of the Bureau; and

iii) Family members of management of the laboratory or sister unit of laboratory are not acting as authorised Indian representative for any foreign manufacturer under the Foreign Manufacturer's Certification Scheme and/or Compulsory Registration Scheme/ any other conformity assessment scheme of the Bureau; and if at any time in future family members of 5"
lrs_23062020_p6,lrs_23062020,LRS_23062020.pdf,6,"management of the laboratory or sister unit of laboratory poses any risk to impartiality as stated above, we shall inform BIS about the identified risks.

In such a situation, we undertake that we shall not test samples of these manufacturers in our laboratory to maintain impartiality as per requirement of terms and conditions of BIS recognition.

Or

Family members of management of the laboratory or sister units of the laboratory are acting as authorized Indian representative for any foreign manufacturer under the Foreign Manufacturers’ Certification Scheme and / or Compulsory Registration Scheme/ any other conformity assessment scheme of the Bureau. The details of the manufacturers are as below:

We undertake that we shall not test samples of these manufacturers in our laboratory to maintain impartiality as per requirements of terms and conditions of BIS recognition.

iv) All of our relationships based on ownership, governance, management, personnel, shared resources, finances, contracts, marketing (including branding) shall not present any threat to the impartiality of our laboratory.

v) We hereby also declare that the above mentioned information is true to the best of our knowledge. We are also aware that any deviation to the above-mentioned declarations or any information submitted, if found incorrect by BIS at any stage, may lead to rejection of our application without any further reference and if found after grant of recognition, withdrawal of recognition of the laboratory.

Date: Name:

Place: Designation:

 Signature

Seal:

Note: The undertaking shall be furnished, signed and sealed by Proprietor or Director or Partner of the BIS recognized laboratory /applicant laboratory on laboratory’s official stationery (letter-head). For Government labs, the undertaking may be given by the local heads of the Lab.

Family members as per above undertaking shall mean anyone who is related to another, if :

(a) they are members of a Hindu Undivided Family;

(b) they are husband and wife; or

(c) if he or she is related to another in the following manner, namely:

 6"
lrs_23062020_p7,lrs_23062020,LRS_23062020.pdf,7,"(i) Father including step-father. (ii) Mother including step-mother (iii) Son including the stepson (iv) Son’s wife (v) Daughter (vi) Daughter’s husband (vii) Brother including the stepbrother (viii) Sister including the step-sister.

4.1.5.2 The laboratory shall submit an signed code of ethics in the prescribed format as given below along with the application form :

Code of Ethics:

We, M/s _____________________________________________________________________ (OSL Code - ___________/Laboratory applying for recognition under BIS LRS 2020 ), located at _____________________________________________ ____________________________________________________________________________, a BIS recognized laboratory under the Laboratory Recognition Scheme of the Bureau of Indian Standards / an applicant lab under the Laboratory Recognition Scheme of the Bureau of Indian Standards , do, hereby, undertake that:

1. Integrity: We shall have a professional behavior, be straightforward and honest in all professional and business practices. 2. Objectivity: We shall not allow bias, conflict of interest or undue influence of others in our professional testing and reporting activity. 3. Professional competence and due care : It is our continuing duty to maintain professional knowledge, skill and testing facilities at the level required to ensure that the customer receives competent professional services based on current technological advancements, revision/amendment in the standards etc. 4. The following practices shall be strictly discouraged:  Sharing of test results before completion of testing and final issue of report.  Reporting the test results without proper/actual testing on the sample  Provide any undue favor to BIS or any government official  Giving any undue favor to the customer in terms of testing and reporting of results 5. Confidentiality: We shall maintain adequate confidentiality with respect to the sample under test and the test results. 6. Professional behavior: We Shall comply with relevant laws and regulations and should avoid any action that discredits the profession or brings bad name to BIS

Date: Name:

Place: Designation:

 Signature

Seal:

Note: The code of ethics shall be furnished, signed and sealed by Proprietor or Director or Partner of the BIS recognized laboratory /applicant laboratory on laboratory’s official 7"
lrs_23062020_p8,lrs_23062020,LRS_23062020.pdf,8,"stationery (letter-head). For Government labs, the undertaking may be given by the local heads of the Lab.

 8"
lrs_23062020_p9,lrs_23062020,LRS_23062020.pdf,9,"4.2 Submission of Application

4.2.1 Any laboratory fulfilling the criteria as laid down under clause 4.1 may apply for recognition in the prescribed application form (BIS/ LRS/ F-01) along with the requisite documents and fees.

4.2.2 The following documents, duly authenticated, shall be submitted along with the application form:

a) Legal Identity of the laboratory – any one or more of the following documents

i) Certificate of Registration by Company Registrar and Memorandum of Articles in case laboratory is a Limited Company or Document issued as per societies registration act or Indian Trust registration act ii) Partnership Deed in case laboratory is a Partnership entity and copy of registration under 1932 act iii) Certificate from Chartered Accountant establishing the proprietorship or Affidavit on NonJudicial Stamp Paper of Rs.100/- by Proprietor that he is the sole Proprietor, duly attested by Notary Public in case of laboratory being a proprietorship business entity along with Bank Passbook, Account Statement, ID of the proprietor, iv) Certificate of registration under shop and establishment act v) Certificate of registration under Goods & Service Tax Act. vi) For the purposes of legal identity, a governmental laboratory is deemed to be a legal entity on the basis of its governmental status (Copy of Government notification/declaration etc). vii) Documents authenticating legal identity of overseas laboratory: Any document from local authority/ Government, establishing legal identity of the laboratory as per law of the country

b) Authenticating premises of the laboratory - any one or more of the following documents clearly indicating and covering all the areas where laboratory activities are carried out and which are proposed to be covered under recognition: i) Certificates from Registrar of Firms or Directorate of Industries or Industries Centre ii) Municipal Corporation/Local Body/Central Insecticides Board or Drug Controller/ Pollution Control Board or any such BIS indicating premises of the applicant laboratory iii) Rent Agreement, duly notarised. iv) Authentication of the premises of a governmental laboratory will be carried out on the basis of its governmental status. v) Documents authenticating the premises of overseas laboratory: Any document from local authority/ Government, authenticating laboratory premises as per law of the country.

Note: In case the document(s) of address proof and legal identity is (are) in the local language, then their authenticated English Translation may preferably also be provided.

c) Certificates of accreditation for IS/ISO/IEC 17025 (latest implemented/concurrent version), version) and scope of accreditation covering all test parameters as per the Indian Standard/s for which recognition is being sought.

d) List of Indian Standards (clearly mentioning the latest versions & amendments) with product name for which recognition is being sought (BIS/ LRS/ F-02). In case an Indian Standard is having no. of parts/sections than each of such part/section is to be separately listed out.

 9"
lrs_23062020_p10,lrs_23062020,LRS_23062020.pdf,10,"Note: The above list shall not include any Indian Standards or other international standards on methods of tests which may have been cross referred in the product standards.

e) Organization chart of the laboratory, clearly indicating the names and designations of various functionaries engaged in laboratory activities. In case the laboratory is part of larger organization, its place in the organization shall be clearly indicated in the organization chart. f) List of Technical & Managerial personnel of the laboratory with their name, designation, qualification, experience, training details, etc. on the prescribed proforma (BIS/ LRS/ F-03). g) Layout Plan of the Laboratory clearly indicating key facilities, sample receipt, remnant store etc. and including floor plans covering all areas under the address. h) Declaration regarding requirement-wise details of test facilities available for each of the Indian Standard for which recognition is sought shall be submitted on the prescribed proforma (BIS/ LRS/ F-04) separately for each Indian Standard. In case an Indian Standard provides for option of more than one test method for any requirement, then the laboratory shall declare the actual test method it follows with the facilities available for the same. In case an Indian Standard provides option to use ‘any instrumental method’ then the laboratory shall declare the test actual method it follows which should be as per any national or international standard method. i) Details / list of reference materials required and used for testing and calibration with details of traceability to national/international standards and validity. j) Declaration of IS-wise Testing Capacity per month for each of the standard with testing time on the prescribed proforma (BIS/ LRS/ F-02) and testing charges in the prescribed proforma (BIS/ LRS/ F05). k) Copies of such documents of the laboratory which cover the requirements specific to this scheme which inter alia include, but not limited to the following:

 i) Handling of Samples for BIS Conformity Schemes - covering aspects related to safehandling of samples, access control, confidentiality, recoding, decoding, review of test request, testing of samples as per the test method prescribed in the relevant Indian Standard, methodology followed / proposed to be followed for addressing queries / disputes related to samples or test requests, if any. ii) Handling of Remnants of Tested Samples - covering retention period of remnants, methodology for safe-keeping and return / disposal of samples, responsibility, etc. iii) Maintaining Confidentiality - including access control to testing area. iv) Handling of Complaints - including provision for retesting / witnessing of testing.

l) Undertaking to abide by the Terms and Conditions of this scheme on continuous basis on the prescribed proforma, to be submitted on laboratory’s letter head in the proforma (BIS/ LRS/ F-07) m) Undertaking with regards to maintenance of impartiality and code of ethics as per clause 4.1.5.1 and 4.1.5.2 of this scheme. n) Documents as referred in the application form but not covered above. o) Any other document considered relevant by the laboratory.

4.3.1 The application, form duly filled-in, shall be signed by its owner/top management i.e. Proprietor, Partner, Director, Chief Executive Officer (CEO) or Head as the case may be or any other person so authorized for the purpose by the management. The name and designation of the person signing the application shall be recorded legibly in the space for the purpose in the application form. In case application is signed by authorized signatory, a certificate from the top management of the laboratory on its official letter head, bearing seal of the laboratory and clearly attesting the signature of the authorized signatory, shall also be required to be submitted with the application. 10"
