record_id,audience,domain,question_or_intent,answer,keywords,source_title,source_url,source_last_updated,accessed_on,provenance_note
i001,industry,certification basics,What is a BIS licence?,A BIS licence is granted under Section 13 of the BIS Act 2016 to use a specified Standard Mark for goods or articles that conform to a standard.,BIS licence; Section 13; Standard Mark,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i002,industry,certification application,How can a manufacturer identify the relevant Indian Standard?,"Manufacturers can search for the applicable Indian Standard through BIS Know Your Standards or Manakonline services. If the standard cannot be found, BIS directs the applicant to contact the concerned technical department.",Indian Standard; Know Your Standard; Manakonline,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i003,industry,certification requirements,What must a manufacturer have before applying for a BIS licence?,"The manufacturer must have the required manufacturing infrastructure, appropriate process controls, quality control, and testing capabilities for the product against the relevant Indian Standard. The product must conform to all requirements of that standard.",manufacturing infrastructure; process control; QC; testing capability,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i004,industry,certification process,How does BIS grant a product certification licence?,"BIS assesses manufacturing infrastructure, process controls, quality control, and testing capabilities through a visit to the manufacturing premises. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or a combination.",factory assessment; third-party lab; conformity assessment,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i005,industry,online application,How are BIS product certification applications submitted?,"BIS states that product-certification applications, including payments, are accepted online through the Manakonline portal. Applicants are advised to review the portal user manual and FAQs before registering.",Manakonline; online application; certification payment,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i006,industry,product manuals,What do BIS product manuals contain?,"BIS product manuals include sampling guidelines, lists of test equipment, the Scheme of Inspection and Testing, and the scope of the licence.",Product Manual; sampling; SIT; test equipment; scope,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i007,industry,laboratories,Which test reports are acceptable for product certification?,"For the stated option-2 route, BIS says test reports issued by BIS or a BIS-recognized or empanelled laboratory are acceptable. Applicants should check the current product-specific laboratory information before testing.",BIS laboratory; recognized lab; empanelled lab; test report,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i008,industry,licence structure,Are separate applications needed for different products or factories?,"Yes. BIS states that a separate application is required for each product and Indian Standard, even at the same factory, and for each factory location even where the product and standard are the same.",separate application; factory location; Indian Standard,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i009,industry,surveillance,How does BIS conduct surveillance after licensing?,"BIS may conduct surprise factory surveillance inspections and verify continued infrastructure, process controls, quality control, testing capability, and product conformity. BIS may also draw factory or market samples for independent laboratory testing.",surveillance; factory inspection; market sample; compliance,Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-02-03,2026-08-28,Official BIS webpage; verify live page before acting
i010,industry,QCO compliance,What is a Quality Control Order?,"A QCO makes compliance with specified Indian Standards compulsory for covered products. After commencement, covered products cannot be manufactured, imported, distributed, sold, hired, leased, stored, or exhibited for sale without the required Standard Mark, according to the Scheme X FAQ.",QCO; Quality Control Order; mandatory compliance; Standard Mark,Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-05-27,2026-08-28,Official BIS webpage; verify live page before acting
i011,industry,Scheme X,What are the essential Scheme X requirements?,"For a Scheme X licence, the manufacturer must have manufacturing infrastructure, in-process controls, quality control, and product testing capability, and the product must conform to the relevant Indian Standard.",Scheme X; manufacturing; in-process control; testing,Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-05-27,2026-08-28,Official BIS webpage; verify live page before acting
i012,industry,Scheme X,Is a Technical File required for Scheme X?,Yes. The Scheme X FAQ states that the Technical File must be submitted with the application and that an application without a complete Technical File may be processed for rejection.,Technical File; Scheme X application; rejection risk,Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-05-27,2026-08-28,Official BIS webpage; verify live page before acting
i013,industry,foreign manufacturers,Can foreign manufacturers obtain BIS certification?,"Yes. Foreign manufacturers can obtain BIS certification under the Foreign Manufacturers Certification Scheme (FMCS), with application details and forms available through BIS.",FMCS; foreign manufacturer; import compliance,Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-05-27,2026-08-28,Official BIS webpage; verify live page before acting
i014,industry,Scheme X laboratories,Where can Scheme X products be tested?,BIS directs applicants to its Laboratory Information Management System (LIMS) portal for the list of laboratories recognized for testing products notified under the EEQCO and related product requirements.,LIMS; recognized laboratory; EEQCO,Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-05-27,2026-08-28,Official BIS webpage; verify live page before acting
