record_id,audience,domain,question_or_intent,answer,keywords,source_title,source_url,source_last_updated,accessed_on,provenance_note
c001,consumer,BIS basics,What does the BIS Standard Mark indicate?,The BIS Standard Mark indicates that a product conforms to the applicable Indian Standard under the relevant BIS conformity-assessment arrangement. Consumers should verify the licence or registration details rather than relying only on a printed mark.,ISI mark; Standard Mark; product safety,BIS Product Certification Overview,https://www.bis.gov.in/product-certification/product-certification-overview/?lang=en,2026-02-05,2026-08-28,Official BIS webpage; verify live page before acting
c002,consumer,BIS basics,Is BIS certification always compulsory?,"BIS certification is generally voluntary, but the Central Government can make compliance compulsory for specified products through Quality Control Orders (QCOs). For such products, the required Standard Mark under a BIS licence or CoC is mandatory.",voluntary certification; compulsory certification; QCO; CoC,Products under Compulsory Certification,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,2026-04-15,2026-08-28,Official BIS webpage; verify live page before acting
c003,consumer,verification,How can I verify a BIS-marked product?,Use the BIS Care app feature named Verify Licence Details to check the authenticity of a product carrying a BIS mark.,BIS Care; Verify Licence Details; authenticity,BIS Care App,https://www.bis.gov.in/bis-apps/?lang=en,Not stated on source page,2026-08-28,Official BIS webpage; verify live page before acting
c004,consumer,hallmarking,How can I verify hallmarked jewellery?,Use the BIS Care app feature named Verify HUID. HUID is a six-digit alphanumeric Hallmark Unique Identification number that is unique to and traceable for each hallmarked item.,HUID; Verify HUID; jewellery; traceability,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c005,consumer,hallmarking,What marks should appear on hallmarked gold jewellery?,"Since HUID was introduced on 1 July 2021, the hallmark on gold jewellery consists of the BIS logo, purity expressed in caratage and fineness, and a six-digit alphanumeric HUID number.",gold hallmark; BIS logo; fineness; HUID,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c006,consumer,hallmarking,Which precious metals are covered by hallmarking in India?,The BIS hallmarking FAQ states that gold and silver are currently under the hallmarking framework in India.,gold; silver; hallmarking scope,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c007,consumer,hallmarking,What gold fineness grades are permitted for hallmarking?,"The FAQ lists 14K(585), 18K(750), 20K(833), 22K(916), 23K(958), and 24KS(995) for gold jewellery or artefacts under IS 1417:2016.",gold; caratage; fineness; IS 1417,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c008,consumer,hallmarking,What silver fineness grades are permitted for hallmarking?,"The FAQ lists 800, 835, 900, 925, 970, and 990 fineness grades for silver jewellery or artefacts under IS 2112:2014.",silver; fineness; IS 2112,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c009,consumer,hallmarking,What should I check in a jewellery shop?,"The BIS FAQ says a registered or certified jeweller should display the BIS logo with the wording Hallmarked jewellery available for sale, display the BIS registration certificate, provide a magnifying glass of at least 10X to show the hallmark, and display the relation between fineness and caratage.",jeweller; shop checklist; 10X magnifying glass; fineness,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
c010,consumer,hallmarking,Should I obtain an invoice for hallmarked jewellery?,"Yes. The BIS FAQ states that an authentic bill or invoice should be obtained and that details of the hallmarked article should be included for dispute, misuse, or complaint redressal.",invoice; bill; jewellery complaint; consumer proof,Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2025-11-26,2026-08-28,Official BIS webpage; verify live page before acting
