chunk_id,document_id,source_file,page_number,text
guidelines_for_enforcement_activity_p1,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,1,"MAY 2023

 FOR BIS USE ONLY

 वतन गितविध के िलए दशािनद श GUIDELINES FOR ENFORCEMENT ACTIVITY

 भारतीय मानक यूरो BUREAU OF INDIAN STANDARDS"
guidelines_for_enforcement_activity_p2,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,2,"TABLE OF CONTENTS Sl. Topic Page No. No. Chapter I- Introduction and Scope 1 Introduction 4-5 2 Scope 5 Chapter II- Organizational Setup and Provisions of BIS Act, 2016 3 Organizational Setup for Enforcement Activity in BIS 5 4 Provisions Relating to Violation of BIS Act, Rules & Regulations 6-8 5 Products under Mandatory Certification 8 6 Sources of Information of Violations 8-9 Chapter III- Enforcement Activity 7 Guidelines for Dealing with Violations 9-10 8 Investigation and Collection of Evidence 10-12 9 Search and Seizure 12-16 10 Actions Subsequent to Search and Seizure 16-17 11 Launch of Prosecution and Subsequent Actions 17-21 12 Time Norms 21-22 Chapter IV- List of Annexures I Guidelines for coordinating with State Governments for 23 Enforcement of Quality Control Orders II Guidelines for Dealing with Violations 24-29 III Do’s and Don’ts during Search & Seizure operation 30-31 IV Timelines for Dealing with Complaints related to Misuse of BIS 32-33 Standard Mark and Violation of QCO Chapter V- Forms and Proformae I ENF/1:01- Notice 34 II ENF/2:01- Report of Discreet Investigation 35 III ENF/3:01- Constitution of Team 36 IV ENF/4:01- Authorization to conduct Investigation, Search & Seizure 37 V ENF/5:01- Letter to Police 38 VI ENF/6:01- Seizure Memo I 39"
guidelines_for_enforcement_activity_p3,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,3,VII ENF/7:01- Seizure Memo II 40 VIII ENF/8:01- Attendance Sheet 41 IX ENF/9:01- Report of Search & Seizure 42-43 X ENF/10:01- Press Release 44 XI ENF/11:01- Specimen/Model of Complaint 45-58
guidelines_for_enforcement_activity_p4,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,4,"1 INTRODUCTION

1.1 The Bureau of Indian Standards Act, 2016, empowers Bureau of Indian Standards (the Bureau) to grant licences to manufacturers to use the Standard Mark on their products to indicate their conformity to the relevant Indian Standards. The Certification Marks Scheme was initially operated under the Indian Standards Institution (Certification Marks) Act, 1952 which was superseded by the BIS Act, 1986 w.e.f. 1 April 1987. Consequent upon enactment of BIS Act, 2016 w.e.f. 12 October 2017 (hereinafter will be written as BIS Act), the scheme is known as BIS Conformity Assessment Scheme and encompasses product certification (Scheme-I), Self-Declaration of Conformity (SDoC) (Scheme-II), Management Systems Certification Scheme (Scheme-III) etc. The Bureau of Indian Standards (Conformity Assessment) Regulations, 2018 have been notified under BIS Act with effect from 4 June 2018. These regulations lay down the requirements for the conformity assessment schemes that are operated by the Bureau. 1.2 The BIS Conformity Assessment Schemes are basically voluntary in nature. However, for considerations of health, safety and consumer protection, the Government of India has made the Standard Mark/Hallmark mandatory for certain specified goods under various Acts/Rules/Quality Control Orders/Notifications. Most of these orders/ notifications prohibit manufacture, storage, sale and distribution of notified products without the Standard Mark/Hallmark. In addition, for some goods, conformity to relevant Indian Standards has been made compulsory without the requirement of Standard Mark, through Certificate of Conformity under Scheme IV of BIS (Conformity Assessment) Regulations, 2018. The BIS Act, 2016 also has a provision that the Central Government can make the Standard Mark compulsory for the goods, articles, process, system or service of scheduled industry. 1.3 A number of goods have been notified by the Government of India for mandatory certification/compulsory registration from the Bureau. Moreover, the growth and popularity of the BIS Conformity Assessment Schemes has resulted in consumers and purchasers insisting on BIS certified products. Due to these developments, there have been instances of misuse of BIS Standard Mark over the past few decades during the operation of its conformity assessment schemes. Such misuse of the Standard Mark is undesirable and needs to be curbed completely. 1.4 The Conformity Assessment Schemes administered by the Bureau are basically meant to ensure availability of quality and safe goods to the consumers. Therefore, the success of the Conformity Assessment Schemes depends on effective enforcement by the Bureau, that is, surveillance and ensuring compliance to the rules and regulations. For this purpose, supervision needs to be exercised not only at the manufacturer's end but also at market place with the retailers, traders and distributors, dealers etc., and firm deterrent action taken in cases where misuse of the Standard Mark is detected. Enforcement with respect to the use of the Standard Mark, thus, has three broad areas. One, relating to licensees to ensure that substandard products are not marked with the Standard Mark by them and that the BIS Act 2016, as applicable, is enforced. The second is relating to the use of Standard Mark or its colourable imitation by any person/company who is not a licensee and third is related to Violation of Quality Control Orders issued by the Government for mandatory use of BIS Standard Mark on goods/articles/system/service/process etc. 1.5 The first aspect is the monitoring of the Conformity Assessment Scheme itself, and is covered under the guidelines issued by the Bureau for the relevant Conformity Assessment Scheme from time to time. Guidelines for the second and third aspect i.e. misuse of Standard

 4|Page"
guidelines_for_enforcement_activity_p5,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,5,"Mark by a non-licensee and Violation of Quality Control Orders was first covered in the Enforcement Manual 1994 (With 4 Amendments). This document has been prepared to incorporate the provisions of BIS Act, which includes provisions such as offence being made cognizable and provision for compounding of offence. 1.6 An attempt has been made in these Guidelines to provide general guidelines as far as possible on such matters as envisaged. These are to be read in conjunction with BIS Act and Rules and Regulations framed thereunder. However, for situations that are not covered under this document or if the guidance provided is not adequate, then in all such cases Complaint Management & Enforcement Department at the Headquarters (CMED) may be consulted.

2 SCOPE

2.1 This document lays down the guidelines and procedures to be adopted in dealing with cases of violation of BIS Act. It also covers aspects relating to implementation of the various Quality Control Orders/notifications relating to mandatory certification. The sections of BIS Act covered by this document are Section 11, 14(6), 14(8), 15, 17 and 26. 2.2 The violations relating to other Sections (for example, Grant of License/ Certificate of Conformity, marking non-conforming products, non-compliance with Scheme of Inspection & Testing (SIT) or any other conditions of the licence) pertaining to the specific Conformity Assessment Scheme, shall be dealt as a part of the monitoring under the guidelines issued by BIS for relevant Conformity Assessment Scheme from time to time.

3 ORGANIZATIONAL SETUP FOR ENFORCEMENT ACTIVITY IN BIS

3.1 Complaints Management and Enforcement Department at BIS Headquarters (CMED) is responsible for coordinating the enforcement activity in the Bureau. The department reports to DDG (PRT). 3.2 In addition to CMED, the enforcement function is carried out with the help of BIS Branch Offices all over India. An officer from each of the RO shall be nominated as the Nodal Officer to deal with, coordinate and guide the enforcement activity in the region. He shall report to DDGR. 3.3 In addition, an officer in each of the branch offices of BIS shall be nominated as Enforcement Officer for dealing with and coordinating the enforcement work. He shall report to the Branch Head. All officers of the ROs/BOs shall provide necessary support to the Enforcement/Nodal Officers. The Enforcement/ Nodal Officers shall also coordinate the legal work relating to enforcement function. The Enforcement Officers shall be responsible for interacting with CMED/ROs in BIS and with State Government Agencies/other bodies responsible for implementing the various Quality Control Orders. 3.4 The Legal Department at HQ shall provide legal support to the enforcement function. On completion of the investigations for establishing the violation, including Search & Seizure operation, necessary action shall be taken for contravention of provisions of the BIS Act.

 5|Page"
guidelines_for_enforcement_activity_p6,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,6,"4 PROVISIONS RELATING TO VIOLATION OF BIS ACT, RULES AND REGULATIONS

4.1 The use of the Standard Mark is governed by the relevant provisions in the BIS Act, Rules and Regulations. Some of the important provisions of Act in respect of usage of Standard Mark are reproduced below: a) Section 2 (40) defines the Standard Mark as the Mark specified by the Bureau including Hallmark to represent conformity of goods/article/process/system/service to a particular Indian Standard or conformity to a standard, the mark of which has been established, adopted or recognized by the Bureau and is marked on the article or goods as a Standard Mark or on its covering or label attached to such goods or article so marked. b) Section 9 (1) (d) empowers the Bureau to enter into and search places, premises or vehicles, and inspect and seize goods or articles and documents to enforce the provisions of this Act. c) Section 12 empowers the Bureau to notify a specific or different conformity assessment scheme for any goods, article, process, system or service or for a group of goods, articles, processes, systems or services and to establish a Standard Mark in relation to each of its conformity assessment schemes, which shall be of such design and contain such particulars as may be specified by regulations to represent a particular standard. d) Section 13 empowers the Bureau to Grant a certificate of conformity in a manner as may be specified by regulations or a licence to use or apply a Standard Mark in a manner as may be specified by regulations. It also empowers the Bureau to specify the marking and labelling requirements that shall necessarily be affixed 4.1.1 As per the Section 16 (1) the Central Government may notify— (a) Goods or article of any scheduled industry, process, system or service; or (b) Essential requirements to which such goods, article, process, system or service,

which shall conform to a standard and direct the use of the Standard Mark under a licence or certificate of conformity as compulsory on such goods, article, process, system or service. 4.1.2 As per the Section 16 (2) the Central Government may authorize the Bureau or any other agency having necessary accreditation or recognition and valid approval to certify and enforce conformity to the relevant standard or prescribed essential requirements under subsection (1) of Section 16. 4.2 Provisions to prevent the improper use of the Standard Mark and penalties for violations, as detailed below, have been provided in the BIS Act. 4.2.1 Section 14 (6) provides that no testing and marking Centre or Assaying and Hallmarking Centre, other than the recognized by the Bureau, shall with respect to goods or articles notified under sub-section (1) of Section 14, use, affix, emboss, engrave, print or apply in any manner the Standard Mark, including the Hallmark , or colorable imitation thereof, on any goods or article; and make any claim in relation to the use and application of a Standard Mark, including the Hallmark , through advertisements, sales promotion leaflets, price lists or the like. 4.2.2 Section 14 (8) provides that no recognized testing and marking Centre, including Assaying and Hallmarking Centre, shall, notwithstanding that it has been recognized under sub-section (5) of Section 14, use or apply in relation to any goods or article notified under subsection (1) of Section 14, a Standard Mark, including Hallmark, or any colorable imitation thereof, unless such goods or article conforms to the relevant standard. 6|Page"
guidelines_for_enforcement_activity_p7,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,7,"4.2.3 Section 15 (1) provides that no person shall import, distribute, sell, store or exhibit for sale, any goods or article under sub-section (1) of section 14, except under certification from the Bureau. 4.2.4 Section 15 (2) provides that no person, other than that certified by the Bureau, shall sell or display or offer to sell goods or articles that are notified under sub-section (3) of section 14 and marked with the Standard Mark, including Hallmark and claim in relation to the Standard Mark, including Hallmark, through advertisements, sales promotion leaflets, price lists or the like. 4.2.5 Section 15 (3) provides that no certified jeweller or seller shall sell or display or offer to sell any notified goods or articles, notwithstanding that he has been granted certification, with the Standard Mark, including Hallmark, or any colorable imitation thereof, unless such goods or article is marked with a Standard Mark or Hallmark, in a manner as may be specified by regulations, and unless such goods or article conforms to the relevant standard. 4.2.6 Section 17 (1) provides that No person shall manufacture, import, distribute, sell, hire, lease, store or exhibit for sale any such goods, article, process, system or service under subsection (1) of section 16(a) Without a Standard Mark, except under a valid licence; or (b) Notwithstanding that he has been granted a license, apply a Standard Mark, unless such goods, article, process, system or service conforms to the relevant standard or prescribed essential requirements. 4.2.7 Section 17 (2) provides that no person shall make a public claim, through advertisements, sales promotion leaflets, price lists or the like, that his goods, article, process, system or service conforms to an Indian standard or make such a declaration on the goods or article, without having a valid certificate of conformity or licence from the Bureau or any other authority approved by the Central Government under sub-section (2) of section 16. 4.2.8 Section 17 (3) provides that no person shall use or apply or purport to use or apply in any manner, in the manufacture, distribution, sale, hire, lease or exhibit or offer for sale of any goods, article, process, system or service, or in the title of any patent or in any trade mark or design, a Standard Mark or any colorable imitation thereof, except under a valid licence from the Bureau. 4.2.9 Section 11 (1) and (2) provides that no individual shall, without the authorization of the Bureau, in any manner or form, publish, reproduce or record any Indian Standard or part thereof, or any other publication of the Bureau and no person shall issue a document that creates, or may create the impression that it is or contains an Indian Standard, as contemplated in this Act provided that nothing in this sub-section shall prevent any individual from making a copy of Indian Standard for his personal use. 4.2.10 Section 26 provides that no person shall, with a view to deceive or likely to deceive the public, use without the previous permission of the Bureau,(a) Any name which so nearly resembles the name of the Bureau as to deceive or likely to deceive the public or the name which contains the expression “Indian Standard” or any abbreviation thereof; or (b) Any title of any patent or mark or trade mark or design, in relation to any goods, article, process, system or service, containing the expressions “Indian Standard” or “Indian Standard Specification” or any abbreviation of such expressions. 7|Page"
guidelines_for_enforcement_activity_p8,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,8,"4.2.11 Sections 27 and 28 of the Act empower the Certification Officers of the Bureau to deal with enforcement which include inspection and drawl of the samples to ensure proper use of the BIS Standard Mark and power to search and seizure for contravention of Section 14(6) or 14(8) or Section 15 or Section 17. 4.2.12 Section 29 provides for penalties for contravention of Sections 11, 14(6), 14(8), 15, 17 and 26. Section 29(4) specifies that offence of violation of Section 17 shall be cognizable.

5 PRODUCTS UNDER MANDATORY CERTIFICATION

5.1 The BIS Conformity Assessment Scheme is basically voluntary in nature but the Government of India for consideration of health, safety and consumer protection, has made the use of BIS Standard Mark compulsory for certain specified items under various Acts/Rules/Notifications. Certification of these products is operated through various Schemes specified under BIS (Conformity Assessment) Regulations, 2018 such as Scheme I i.e. ISI Mark Scheme, Scheme-II i.e. Compulsory Registration Scheme (CRS) and Scheme IV i.e. Certificate of Conformity. 5.2 The Bureau is responsible for operating the Conformity Assessment Schemes, however, the enforcing authority for products under mandatory certification is stated in respective Quality Control Order. The Bureau is committed to curb the Violation of Quality Control Orders, if any, in the market place. For the QC Orders where enforcing authority is other than BIS, BIS shall on its part offer any technical assistance that the enforcing authority may require. Guidelines for coordination with the States are given in Annex I. 5.3 When goods are notified for compulsory certification under the BIS Act, the responsibility for enforcement of relevant order rests with BIS. 5.4 In order to take up proactive enforcement of QCOs issued from time to time, CMED had issued guidelines in this regard vide Ref. No. CMED/GEN/6 dated 23.12.2021. Note: Relevant QCO/Notifications/Regulations are available on BIS website for reference.

6 SOURCES OF INFORMATION OF VIOLATION: 6.1 The Bureau shall endeavour to look for cases of violations of the Act without waiting for somebody to point out the violation. The main sources from which information regarding violation may emanate are: a) Newspapers/ Journals (Print Media) b) Advertisements on Hoardings or Advertisements on digital media including e-commerce platforms. c) Complaints d) Anonymous letters providing exact details of address of party misusing the standard mark and details of the misuse e) Consumer Associations / Manufacturing Associations f) Exhibitions g) Display in Markets h) Inspections / Market Surveys i) Seizure Memo in raids by other Central / State Government Organizations

 8|Page"
guidelines_for_enforcement_activity_p9,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,9,"6.2 The Regional and Branch Offices shall build up a system for collection of information. Some of the steps that may be taken are: a) Subscription to important Local newspapers and scrutiny for any information of interest to BIS. Advertisements appeared to be examined for any misuse/violation. b) Close liaison may be maintained with State government agencies responsible for enforcement of various Quality Control Orders and their Nodal Officer/Department and their help sought in detecting any case of misuse. c) Close liaison may be maintained with consumer organizations or other groups such as Resident Welfare Associations, Self-Help Groups etc. of the State and they may be requested to report any case of misuse coming to their notice. d) Exhibitions related to products may be visited to look out for products carrying BIS Mark without license from the Bureau. e) Market surveys along with the market sample procurement may be taken periodically to find out products which may be on sale contravening the provisions of BIS Act. These may be organized along with the visits for procurement of market samples. Hoardings, sign boards etc. may also be scanned for any misrepresentation/violation. In case no violation is reported/detected in the BO for a financial year, a special campaign may be conducted. f) In case any information of misuse is received from other BO as collected during their raid, action on the same shall be taken on priority and outcome shall be informed to the concerned BO under intimation to CMED. In case, raid is to be undertaken by BO based on such information received from other BO, it will be counted as a separate raid.

7 GUIDELINES FOR DEALING WITH VIOLATIONS

7.1 Top priority shall be accorded to the enforcement function and investigations in all cases of violations shall be taken up immediately with the aim of securing prosecution of the offending party. The progress of each case shall be closely monitored by the branch heads and DDGRs.

7.2 All correspondence and actions relating to enforcement shall be confidential.

7.3 Guidelines for dealing with the cases of violations of the BIS Act or Quality Control Orders or both, by non-licensees or licensees, are given in Annex II. These cover the types of violations, provisions of the law violated, action to be taken, departments responsible for action and authority responsible for closure of complaints. 7.4 Repeated cases of violation by the same person/company shall be treated more seriously than the first one. 7.5 Guidelines for dealing with misleading advertisements is given in Annex III. 7.6 All cases of violation received in the form of a complaint shall be dealt through Standards Promotion Portal. 7.7 When information regarding Violation of BIS Act is received in the form of a complaint through email/letter or hard copy, the receiving Department/Branch office shall enter the complaint in the Standards Promotion Portal. Simultaneously, investigation shall be initiated in the matter.

 9|Page"
guidelines_for_enforcement_activity_p10,guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,10,"7.8 On receipt of the Complaint through Standards Promotion Portal, the serial number would be automatically generated from the portal. This number shall be quoted in all future correspondence related to the case. 7.9 All complaints (whether anonymous or otherwise) relating to misuse of BIS Standard Mark and/or for violation of Quality Control Orders (QCO) shall be taken cognizance of by the receiving office, in case a prima-facie case exists. 7.10 It may be noted that guidelines given under Annex-II also covers violations by seller/dealer/trader/distributor etc. 7.10.1 In case a search and seizure has been carried out at the premise of a seller/dealer/distributor/trader etc. for violation of Section 17(1)(a) of BIS Act i.e. for violation of QCO, concerned BO should make efforts to get the details of source of the material under contravention. 7.10.2 If a search and seizure has been carried out at the premise of a seller/dealer/distributor/trader etc. for violation of Section 17(3) of BIS Act (i.e. misuse of BIS Standard Mark), he shall be held responsible for unauthorized use of BIS Standard Mark, unless the seller/dealer/distributor/trader establishes otherwise within four days of search and seizure. If Certification Officer present on the spot finds prima-facie merit in the case, a notice as per format attached as Form-I shall be issued to seller/dealer/distributor/trader during the search and seizure itself giving them a chance to prove that they are not liable to be prosecuted for the violation, failing which, action for violation of Section 17(3) shall be initiated against the said seller/dealer/distributor/trader based upon the available evidences. 7.10.3 In case based upon the evidence submitted by the accused seller/dealer/distributor/trader, BO temporarily decides against launch of prosecution, a speaking order in this regard shall be passed by the Head of the concerned BO. Final decision for launch of prosecution in such cases shall be taken after the spuriously marked/seized material of the said seller/dealer/distributor/trader has been linked to another party against whom BO decides to launch prosecution. 7.10.4 Simultaneously, based on the available information on the article or otherwise, efforts may also be made to ascertain the source of supply from where the article in question was procured or manufactured so as to book the manufacturing firm also under BIS Act. 7.10.5 In case a market sample is purchased by BO/RO along with documentary evidence from a dealer/trader and the standard mark on the product is found to be unauthorized/illegal then these guidelines are applicable in all such cases also.

8 INVESTIGATION AND COLLECTION OF EVIDENCE

8.1 On detection of the violation, immediate action shall be taken by the BO to initiate investigations for collection of the necessary evidence for the purpose of taking action for launch of successful prosecution. An attempt shall be made to collect the evidence, documentary and material, with best possible linkage between the two, to establish the violation and to hold accountable the person who has actually contravened the Law. The evidence must be collected without any delay to avoid losing it. It may be mentioned that prosecution under the BIS Act is of criminal nature, and high degree of proof is required for successful conviction under the Act. Further, the onus of proving the violation lies with the prosecution. The evidence, therefore has to be legally tenable. Although no specific guidelines 10 | P a g e"
