process_id,scheme_or_route,step_no,step_title,detailed_action,responsible_party,required_evidence_or_output,mark_or_certificate,official_source_title,official_source_url,freshness_note
p-i-01,Scheme I (ISI Mark),1,Identify the applicable Indian Standard,"Search the relevant IS number or product through Know Your Standards or Manakonline. If the standard cannot be located, contact the concerned BIS technical department.",Manufacturer,Applicable IS number and product scope,No mark until licence is granted,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),2,Review product-specific requirements,"Obtain the relevant Product Manual, including sampling guidance, test equipment, Scheme of Inspection and Testing (SIT), and scope or grouping rules.",Manufacturer,"Product Manual, SIT, grouping and marking-fee information",ISI Mark route,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),3,Prepare manufacturing capability,"Ensure manufacturing infrastructure, process controls, quality control, and testing capability exist for the product and the product can meet all requirements of the IS.",Manufacturer,"Factory capability records, QC plan, test facilities",ISI Mark route,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),4,Submit online application,Submit the product-certification application and payments online through Manakonline after reviewing portal instructions. Separate applications are required for each product/IS and each factory location.,Manufacturer,"Online application, fee payment, factory and product details",Application recorded,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),5,Testing and factory assessment,"BIS assesses the manufacturing premises. Depending on the route, conformity is established by BIS or recognized laboratory testing, testing at the manufacturing premises, or a combination.",BIS and manufacturer,"Inspection report, test reports, samples, technical records",Evidence for licence,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),6,Grant and use the licence,"After satisfactory assessment and conformity decision, BIS grants a licence to use the specified Standard Mark within the approved scope.",BIS,"Licence with scope, conditions and validity",ISI Standard Mark,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),7,Maintain compliance and surveillance,"Maintain infrastructure, controls, testing, records, and product conformity. BIS may conduct surprise factory surveillance and market surveillance, including independent sample testing.",Licence holder and BIS,"Surveillance records, samples, test results, corrective actions",Continued ISI Mark authorization,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-i-01,Scheme I (ISI Mark),8,Renew or change scope,Submit renewal online with production details and applicable fee. Inclusion or deletion of varieties requires the relevant scope-change procedure; do not mark varieties outside the licence scope.,Licence holder,"Renewal or scope-change application, production details, fees",Renewed or amended licence,BIS Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),1,Identify product and IS,Determine whether the product is listed under the CRS register and identify its applicable Indian Standard and product category.,Manufacturer,Applicable IS and CRS product category,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),2,Use recognized laboratory testing,Test the product through a BIS-recognized laboratory according to the applicable requirements and test format.,Manufacturer,Test report and sample records,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
