chunk_id,document_id,source_file,page_number,text
revised_guidelines_ahc_october_2024_p1,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,1,"HM/A&HC/Guidelines /3 October 2024

GUIDELINES FOR RECOGNITION & OPERATION OF ASSAYING & HALLMARKING CENTRES

 ISSUED BY

 BUREAU OF INDIAN STANDARDS, 9, BAHADUR SHAH ZAFAR MARG, MANAK BHAWAN, NEW DELHI"
revised_guidelines_ahc_october_2024_p2,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,2,"GUIDELINES FOR RECOGNTION & OPERATION OF ASSAYING AND HALLMARKING CENTRES

1 GENERAL These guidelines stipulate the procedure for Grant, Operation, Renewal, Suspension and Cancellation of Recognition of Assaying and Hallmarking (A&H) Centres. These are to be read in conjunction with BIS Act 2016, BIS Rules 2018 and BIS (Hallmarking) Regulations 2018 as amended from time to time. In particular, the Grant, Operation, Renewal, and Cancellation of Certificate of Recognition are addressed in Chapter II of BIS (Hallmarking) Regulations, 2018. Any situation, in general, not covered in these guidelines is to be dealt as per the provisions of Act, Rules and Regulations by the Regional Offices and Branch Offices.

2 GRANT OF RECOGNITION

2.1 Any assaying centre set up in accordance with requirements specified in IS 15820 as amended from time to time for assaying and hallmarking of gold and /or silver jewellery / artefacts, shall apply online with self-certified copies of documents listed below from (a) to (f) to the Regional office of BIS having jurisdiction of the area where the A&H centre, with the application.

a) Proof of establishment of the firm or company (Any one of the document given below)

i) Certificate of Registration issued by Registrar of companies along with memorandum of articles

ii) Registered Partnership Deed in case applicant is a Partnership Firm.

iii) Certificate from a Chartered Accountant if applicant is a Proprietorship Firm.

b) Proof of address of firm's premises (Any one of the document given below)

i) Registration with State Government Authority/ Trade Licences

ii) GST registration certificate.

iii) Income Tax Assessment Order

iv) Property tax receipt

v) Rent agreement with last rent receipt

vi) Sale/ Lease Deed agreement.

c) Proof of Identity of the signatory

i) Aadhar based verification/ e- signature

ii) Self-certified copy of any one of following documents as identity proof of signatory on the Application:

- Aadhar Card"
revised_guidelines_ahc_october_2024_p3,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,3,"- Driving Licence

- PAN card

- Voter Identity card

- Passport

- Identity Certificate with photo issued by Gazetted Officer on official letterhead.

d) Map indicating location of premises from nearest land mark

Location map of premises from some nearest prominent landmark for each outlet, as applicable (illustrative only).

e) Quality manual of the A&H Centre

In line with clause 6.2 of IS 15820 : 2024 the minimum education qualification for assay in-charge and deputy assay in-charge shall be included in quality manual which shall be as follows:

Assay In-charge: The assay in-charge shall be graduate in science or diploma/graduate in metallurgy with chemistry as one of the subjects and shall have undergone training in lab management, sampling, assaying and hallmarking Deputy Assay In-charge: ‘The deputy of assay in-charge shall be graduate in science/diploma in metallurgy with knowledge of assaying or 12th Standard pass with 2 years of experience in assaying centres to carry out assaying activity’ shall also be covered in the quality manual.

f) Affidavit cum undertaking as specified in regulations

2.1.1 Non Acceptance of Application due to Antecedents Under the following situations, the application made by the Applicant for obtaining recognition may be rejected: i) Prosecution case is pending or in the process of initiating prosecution case in the trial court against the applicant or person under section 29 of the BIS Act, 2016. ii) Applicant has made the application immediately after the case of misuse of Hallmark or any violation under Section 14 or Section 15 of BIS Act, 2016 detected on the part of applicant. iii) Misuse of Hallmark or any violation under Section 14 or Section 15 of BIS Act, 2016 detected on the part of applicant after the application was made to BIS. Note-The applicant or firm who are falling under any one of the category mentioned at i),ii) and iii) above are NOT eligible to apply for certificate of recognition until they are free from these charges. In case of conviction under Section 29 of the BIS Act, such applicant or firm shall not be eligible to apply for grant of recognition for a period of one year from the date of such conviction. 2.1.2 Applicant whose earlier recognition was cancelled or not renewed and submitting application before completion of cooling period specified."
revised_guidelines_ahc_october_2024_p4,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,4,"2.1.3 Where a person(s) or firm who has been convicted under Section 29 of the BIS Act, 2016 makes an application for certificate of recognition, such person(s) or firm shall not be eligible to apply for grant of recognition for a period of one year from the date of such conviction. 2.2 After recording the application, a Recognition Assessment of the A&H Centre (of 4 man-days duration i.e. by a team of two officers for two days either for gold or gold & silver) to determine whether the A&H Centre has created the necessary infrastructure for assaying and hallmarking according to IS 15820 as amended from time to time shall be carried out.

2.3 If the assessment report is found in order, HMO shall prepare the proposal for grant of recognition and put up to the DDGR as per Hallmarking Regulations 2018. Recognition will be granted by the DDGR in respect of gold and/or silver hallmarking. 2.3.1. In case the discrepancies are observed during the assessment a follow-up assessment may be made to verify the corrective actions made. In case the discrepancies can be ensured through documents only than the same may be made on desktop basis. 2.4 The following timelines may be adhered to for grant of recognition except in the cases where SPCB consent is pending: i) Scrutiny of application and allotment of pre-recognition inspection to auditor: within 07 working days from the date of receipt of complete application; ii) Pre-recognition inspection of the Centre: within 15 working days from the date of allotment of audit; iii) Submission of inspection report by the auditor: within one working day after completion of the inspection; iv) Grant of recognition: within 07 working days after satisfactory verification of infrastructure and competence capabilities and receipt of applicable fee. 2.5 Recognition shall be granted as per IS 15820 as amended from time to time with scope defined as:

2.5.1 For Gold Jewellery / artefacts (as per IS 1417) having one or combination of following:

 a) for yellow gold jewellery / artefacts below 990 fineness only;

 b) for white gold jewellery / artefacts only (Nickel based);

 c) for white gold jewellery / artefacts only (Palladium based); and

 d) for gold alloys having 990 or above fineness;

2.5.2 For Silver Jewellery / artefacts (as per IS 2112)

2.5.3 Fineness in ppt

2.6 Scope of recognition of an A&H centre may be considered for extension on request from the centre with relevant details of equipment and manpower. Scope may be extended through assessment of two mandays (one auditor for two days). If requested by an A&H centre, such assessment may also be combined with renewal assessment. An endorsement for extension of scope shall be given in the Certificate of Recognition. 2.7 For grant of recognition /change in scope of A&H centre, following grouping guidelines shall be followed on the basis of fineness as under:"
revised_guidelines_ahc_october_2024_p5,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,5,"Group Fineness Sampling 1 Yellow gold below 990 Sample of any fineness below 990 shall be tested during audit 2 White Gold (Nickel/Palladium) Sample of any fineness shall be tested during audit 3 990 and above Sample of any fineness 990 or above shall be tested during audit

Centre shall declare the fineness they intend to cover in the Scope of the A&H centre. The Scope of Center shall be restricted based on the testing capabilities of the A&H centre. During the operation of the AHC, it may be ensured that all the fineness covered in the Scope are tested in rotation to the extent possible. 2.8 The following types of changes or in combinations thereof may occur during the operation of the Certificate of recognition: a) Change in address of the premises; b) Change in the name of the Centre; c) Change in the Management of the Centre, with or without change in the name; and d) Change in the Logo of the Centre (only in case of silver)

For the above situations, the following type of actions shall be taken: 2.8.1 In the case of (a), the Centre shall inform the complete address of the new premises to which they intend to shift their centre and also intimate suspension of Hallmarking at the old premises to the Bureau. If they have not done so, suspension of Hallmarking at the old premises shall be imposed in accordance Hallmarking Regulations, 2018. Revocation of suspension shall be carried out in accordance Hallmarking Regulations, 2018. An endorsement for change in address shall be given in the Certificate of Recognition. 2.8.2 In the case of (b), the relevant document(s) as indicated at 2.1 of this guidelines according to the type of change shall be obtained. An endorsement for change in name of the Centre shall be given in the Certificate of Recognition. 2.8.3 In the case of (c), suitable documents establishing the name/ownership of the Centre premises by the new management are to be obtained and other required documents as indicated in at 2.1 of this guidelines according to the type of change shall be submitted by the new management. An endorsement for change in name of the Centre shall be given in the Certificate of Recognition. 2.8.4 In the case of (d), an undertaking signed by the Proprietor/Partner/Director in their letter head along with the copy of revised quality manual incorporating the new logo shall be obtained. After the approval from DDGR for the change of logo, a communication shall be sent to the centre to this effect.

2.9 (a) The application for recognition of A&H centre may be processed for rejection as per the subregulation (7) of regulation 8 of BIS (Hallmarking) Regulations, 2018. It may include one or more of the situations mentioned below: i) Lack of testing facilities with the A&H centre ii) Lack of technical personnel with the A&H centre iii) If corrective actions are not taken within the time period stipulated in discrepancy-cum-advisory report iv) The A&H centre has not cleared the financial dues to the Bureau v) The A&H centre has tampered with documents in connection with the grant of the recognition. vi) The A&H centre has indulged in unethical practices in the context of grant of recognition or operation of the A&H centre. vii) Major deviation is observed from the declared testing facility/address of premises during the audit."
revised_guidelines_ahc_october_2024_p6,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,6,"viii) Failure of A&H centre in providing all assistance to auditor/s in connection with carrying out the audit ix) If non-competency during audit is found to be repeated during the second audit.

 (b) Before rejecting an application, a rejection notice of not less than 14 days shall be given to the applicant. The applicant shall be given a reasonable opportunity of being heard either in person or through its representative. In case the facts or the explanation furnished by the applicant or its representative is not satisfactory, the application shall be rejected. The closing of application shall be communicated to the applicant.

 (c) The competent authority shall pass speaking orders for decision taken

3 HALLMARKING FEE

3.1 Hallmarking fee to the BIS as specified Hallmarking Regulations, 2018 shall be payable by the centre by 10th of the following month, failing which necessary action shall be initiated as per Hallmarking Regulations, 2018.

3.2 For the purpose of hallmarking fee calculation, the term 'consignment' in hallmarking regulation shall correspond to the lot size assayed by AHC as per IS 15820.

4 RENEWAL OF RECOGNITION

4.1 On receipt of renewal application from the A&H centre with fees and all enclosures, the recognition of the centre shall be automatically renewed through online portal on the last date of validity of recognition of A&H centre except in the following cases (or any combination thereof): (a) Recognition is under suspension. (b) Recognition is currently under deferment and prior to that was under suspension. (c) Cancellation process has started. (d) Self-suspension or shifting of premises has started.

4.1.1 In case the centre does not apply for renewal before the expiry of validity along with requisite fee, it shall cease to have right to use hallmark after the validity of recognition is over and, in such case, the renewal of recognition may be automatically deferred for a period of ninety days from the date of validity by the Bureau.

4.1.2 For such cases where the recognition is under deferment only due to non-submission of renewal application within the validity period, recognition of such centres shall stand automatically renewed on receipt of renewal application with fees (including late fee of rupees five thousand) and all enclosures within the deferment period.

4.2 After automatic renewal, ROs shall plan a surveillance assessment of the centre within 60 days.

4.3 Relaxation from clause 4.2 may be given to those centres whose surveillance assessment has been carried out within 90 days before the date of validity of recognition of the centre.

4.4 All the cases where recognition is automatically renewed shall be reviewed by the ROs for completeness. Any shortfall in terms of documents and fees should be ascertained and"
revised_guidelines_ahc_october_2024_p7,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,7,"communicated to Centre within thirty days of automatic renewal. The review shall comprise following aspects:

(a) Completeness of hallmarking fees paid (Regulation 10(10)) (b) Any other fees or dues to be paid by the Centre (Regulations 11(1)) (c) Implementation of amendment or revision in Standard, if applicable (Regulation 10(5)) (d) Any other pending actions (applicable provision)

4.4.1 As regards clause (a) to (d) above, the Centre shall be advised to comply with the directions issued by the Bureau in this regard and submit shortfall documents/fees, if any, within seven days.

4.5 Any non-compliance on part of Centre in submission of requisite documents/fees shall be treated as violation of the BIS Hallmarking Regulations, 2018 and case shall be processed for suspension/cancellation.

4.6 After the renewal, necessary actions on pending matters arising from the review process shall be taken up by the ROs with the Centre. However, for the cases, where renewal is not automatically processed, actions on following matters shall be completed prior to renewal: (a) Completeness of Hallmarking fees paid (b) Any other fees or dues to be paid by the Center (c) Revocation of suspension of centre (d) Completion of cancellation proceedings, if results in nullification.

4.6.1 HMO shall prepare the proposal for renewal of recognition subject to fulfillment of requirements specified under clause 4.6 (a) to (d) and put up to the DDGR. Renewal will be done by the DDGR as per the scope of the centre’s application.

5 ACTION ON FAILURE OF MARKET SURVEILLANCE SAMPLES

5.1 Suspension of Recognition granted by the BIS shall be done in accordance with provisions of Hallmarking Regulations, 2018 in situations given below: “non-conformity of hallmarked precious metal articles established after in-house or independent testing”

5.2 Cancellation or non-renewal of recognition of an assaying and hallmarking centre may be done in accordance with Hallmarking Regulations, 2018 in situations given below:

 “articles marked with hallmark do not comply with the relevant Indian Standard;”

5.3 To implement the provision of Hallmarking Regulations, 2018 specified at 5.1 and 5.2 above, guidelines given below shall be followed:

5.3.1 Shortage in fineness above 40 ppt If the failure of hallmarked article is observed with shortage in fineness of more than 40 ppt, the recognition shall be processed for cancellation with applicable cooling period as per Hallmarking Regulations, 2018."
revised_guidelines_ahc_october_2024_p8,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,8,"5.3.2 Shortage in fineness above 5 ppt up to and including 40 ppt of the marked fineness

If the failure of hallmarked article is observed with shortage in fineness above 5 ppt up to & including 40 ppt of the marked fineness irrespective of presence of prohibited elements or not, the recognition shall be put under suspension as per provision of the Hallmarking Regulations, 2018 on the first instance itself.

5.3.3 Shortage in fineness above 2 ppt & up to and including 5 ppt and/or presence of prohibited elements (in case of silver, shortage in fineness is up to and including 5 ppt of the marked fineness and/or presence of prohibited elements)

5.3.3.1 If it is the first failure, failure to be communicated to A&H Centre advising them to take corrective actions under intimation to BIS. In case more than one failure received and the samples are drawn on the same date, then these failures shall be considered as first failure.

5.3.3.2 If it is the second failure, check number of pass samples & total samples drawn during last one year (one year previous to last sample drawl date) and calculate the pass percentage.

(a) If pass percentage is 60 % or above, failure to be communicated to A&H Centre advising them to take corrective actions under intimation to BIS.

(b) If pass percentage is less than 60 %, recognition shall be put under suspension as per provision of the Hallmarking) Regulations, 2018.

5.3.3.3 If it is the third failure, check number of pass samples & total samples drawn during last one year (one year previous to last sample drawl date) and calculate the pass percentage.

(a) If pass percentage is 60 % or above, failure to be communicated to A&H Centre advising them to take corrective actions under intimation to BIS.

(b) If pass percentage is less than 60 %, recognition shall be put under suspension as per provision of the Hallmarking Regulations, 2018.

5.3.3.4 If it is the fourth failure in shortage in fineness above 2 ppt & up to and including 5 ppt from the marked purity and/or presence of prohibited elements during last one year (one year previous to last sample drawl date) recognition shall be put under suspension as per provision of Hallmarking Regulations irrespective of number of pass samples.

5.4 In cases, where non-conforming test report pertains to the sample hallmarked on a date prior to Revocation of suspension i.e. sample is hallmarked prior to verification of corrective actions, it shall not be considered for the purpose of review, unless hallmarked precious metal article is found to have shortage of purity of more than forty parts per thousand; for which action as per Hallmarking Regulations may be taken. However, all the non-conformities observed irrespective of the shortage in fineness shall be communicated to the AHC

5.5 In cases where action on failure of sample on a Centre calls for suspension for third time in an operative period of three years of recognition, the recognition shall instead be processed for cancellation as per provision of Hallmarking Regulations, 2018."
revised_guidelines_ahc_october_2024_p9,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,9,"5.6 In cases where AHC requests BIS for testing of counter sample and the counter sample is found to be tempered/ melted/ destroyed following actions shall be taken:

 i) In cases where AHC had been suspended twice before the case under consideration within an operative period of three years of recognition and failure of the market sample calls for suspension/cancellation, action shall be taken as per clause 5.5. ii) In all other cases, benefit of doubt may be given to the AHC and suspension/cancellation may be revoked. However, after revocation of suspension/cancellation, a surveillance audit as well as a market sample drawl of the AHC shall be carried out within 30 days.

5.7 Issues arising out of AHC Surveillance Assessments

5.7.1 HMOs shall ensure that at least one surveillance audit of each AHC is carried out in a year. 5.7.2 The auditor shall complete the surveillance audit and submit the report to the concerned HMO within 30 days of allotment. 5.7.3 Upon submission of the surveillance audit report by the auditors to the concerned HMO, the HMOs shall take immediate action on cases recommended by the auditors for suspension or cancellation. For cases where the auditor recommends corrective action, the AHC shall take the necessary corrective actions and submit its reply within 7 working days to the concerned HMO. The HMO shall then take appropriate action upon receiving the corrective actions. 5.7.4 The recognition shall be put under suspension for the situations stipulated in clause 12 of the Hallmarking Regulations, 2018. 5.7.5 The action to be taken in case of non-conformity of hallmarked precious metal articles established after independent testing has been stipulated in clause 5 above (ACTION ON FAILURE OF MARKET SURVEILLANCE SAMPLE), while the action to be taken in case of non-conformity of hallmarked precious metal articles established after in-house testing during surveillance assessments is as follows: (a) If the failure of hallmarked article is observed with shortage in fineness of more than 40 ppt, the recognition shall be recommended for cancellation with applicable cooling period as per Hallmarking Regulations, 2018. (b) If the failure of hallmarked article is observed with shortage in fineness above 5 ppt up to and including 40 ppt of the marked fineness the recognition shall be recommended for suspension as per provision of the Hallmarking Regulations, 2018. (c) Any other failure observed with shortage in purity shall be reported in the discrepancy report for inviting corrective actions by AHC. 5.7.6 Hallmarking Regulation, 2018 stipulates non-implementation of the provision of relevant standard which may lead to suspension of hallmarking. The non-implementation of the provision of relevant standard is not limited to, but may include one or more of the following: a) Non-functioning of test equipment, namely XRF machine, weighing balances, furnaces (cupellation, annealing) etc.

b) Prima-facie evidence suggests that test results reported by A&H Centre are not genuine / valid; and

c) Non-availability of proper record for a particular lot(s) of hallmarked articles;

5.7.7 Hallmarking Regulation, 2018 stipulates failure to co-operate with the authorised representative of the Bureau during his visit for assessment or for investigating a complaint which may lead to cancellation or"
revised_guidelines_ahc_october_2024_p10,revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,10,"non-renewal of recognition. Failure to co-operate with the authorised representative of the Bureau is not limited to, but may include one or more of the following:

 a) Failure to provide access to CCTV footage by AHC personnel present at the time of audit b) Refusal/Delay to permit auditor to enter centre premises even after showing official ID card.

5.8 OTHER OBLIGATION OF A & H CENTRE

5.8.1 The A&H Centre shall also accept hallmarked jewellery from a consumer for verification of purity and issue report of assaying giving proper identification as marked on the article.

5.8.2 The Assaying and Hallmarking Centre shall not accept such jewellery/artefact for hallmarking which bears any marking including “KDM’ or fineness/caratage. No other mark shall be applied on Hallmarked jewellery / artefact. The A&H Centre shall not use hallmark on articles which resemble with currency of any country.

5.8.3 Jewellery / artefacts, which on analysis by XRF machine found to have a negative variance of more than 5 ppt from the declared value of fineness, shall not be accepted for further assaying. Such item(s) shall be returned to the jeweller without assaying and hallmarking.

5.9 Since a single recognition is operated for gold and silver hallmarking, case warranting suspension of hallmarking due to only gold or silver, the same will be treated separately, for instance, in case of failures in silver only, suspension of marking shall be imposed only on silver hallmarking. Similarly, in case of failure of only gold, suspension of marking shall be imposed only on gold hallmarking. In case, the action is initiated as per clause 5.3.1 of this guidelines then the deletion of the particular variety from the scope of recognition may be considered based on the merit of the case.

6 RETENTION OF CORNETS / CLOSED CIRCUIT TV (CCTV) BACKUP

The check assay gold cornets shall be retained with proper identification and traceability for last 30 assaying. The cornet left after assaying along with hallmarked/rejected jewellery/artefacts shall be returned to the jeweller. The Centre shall ensure that the CCTV with back up facility for minimum 30 days is available.

7 TESTING OF COUNTER SAMPLE

On failure of sample in independent laboratory, if registered jeweller and/or recognized A&H centre does not agree with the results obtained and provide proper justification, testing of counter sample may be permitted with the approval of DDGR for which double the testing charges shall be paid in advance by the registered jeweller and/or the A&H centre. The test results of the counter sample shall be acceptable to the firm and no further testing will be allowed. This shall be made clear to the jeweller and AHC firm before undertaking the testing of the counter sample. However, Head BOs may allow testing of counter samples when the original sample is damaged or lost in transit due to bonafide reasons.

 7.1 Both jeweller and A&H centre may be allowed to witness the testing if requested by them."
